fullname,mu,sigma,opp,opp_rating,result,date,score
Granada,1663.9182108,291.752894037,Osasuna,1336.0817892,1,2013-08-18T00:00:00,1-2
Granada,1531.54446425,250.35836702,Real Madrid,1796.29195735,0,2013-08-26T00:00:00,0-1
Granada,1546.09284501,221.303073352,Celta Vigo,1576.08985624,0.5,2013-08-31T00:00:00,1-1
Granada,1462.08313966,200.597697978,Espanyol,1680.87239034,0,2013-09-15T00:00:00,0-1
Granada,1459.99636652,183.217468159,Real Betis,1453.704701,0.5,2013-09-22T00:00:00,0-0
Granada,1365.17939961,171.628192202,Valencia,1433.27537317,0,2013-09-25T00:00:00,0-1
Granada,1480.97517656,167.559554868,Athletic Bilbao,1546.24364178,1,2013-09-30T00:00:00,2-0
Granada,1444.63211416,161.44825867,Villarreal,1712.87206913,0,2013-10-04T00:00:00,3-0
Granada,1409.50552284,156.106539772,Getafe,1664.30910289,0,2013-10-20T00:00:00,0-2
Granada,1489.28032427,151.1988479,Elche,1472.85566811,1,2013-10-26T00:00:00,0-1
Granada,1474.05772569,152.090303548,Atletico Madrid,1890.12916631,0,2013-10-31T00:00:00,1-2
Granada,1545.34660023,147.054313431,Levante,1510.51599157,1,2013-11-03T00:00:00,0-1
Granada,1580.98056539,143.496919428,Malaga,1375.2665804,1,2013-11-08T00:00:00,3-1
Granada,1569.29521877,145.874242034,Barcelona,2011.35749604,0,2013-11-23T00:00:00,4-0
