mu,sigma,opp,opp_rating,result,date
1500.0,291.750423517,Schalke 04,1500,0.5,2013-08-11T00:00:00
1367.63097392,250.353413782,TSG Hoffenheim,1500.0,0,2013-08-17T00:00:00
1310.40411255,228.178626858,Hertha Berlin,1618.43054851,0,2013-08-24T00:00:00
1376.55404808,207.035177122,TSV Eintracht Braunschweig,1160.05186458,1,2013-08-31T00:00:00
1358.84942144,203.33093524,Borussia Dortmund,1865.51325578,0,2013-09-14T00:00:00
1277.2615671,185.080738515,Werder Bremen,1371.93552192,0,2013-09-21T00:00:00
1322.90658977,176.95355653,Eintracht Frankfurt,1538.08995886,0.5,2013-09-28T00:00:00
1404.29468927,166.075173336,Nurnberg,1393.23303718,1,2013-10-06T00:00:00
1420.03107927,158.068162008,VfB Stuttgart,1504.0246058,0.5,2013-10-20T00:00:00
1465.92339419,151.481172934,SC Freiburg,1331.40007326,1,2013-10-27T00:00:00
1426.53995937,146.734881824,Borussia Monchengladbach,1582.46875757,0,2013-11-02T00:00:00
1403.90165429,145.656983281,Bayer Leverkusen,1687.12449224,0,2013-11-09T00:00:00
