fullname,mu,sigma,opp,opp_rating,result,date,score
Heart of Midlothian,1336.0817892,291.752894037,St Johnstone,1663.9182108,0,2013-08-04T00:00:00,1-0
Heart of Midlothian,1468.45553575,250.35836702,Hibernian,1203.70804265,1,2013-08-11T00:00:00,1-0
Heart of Midlothian,1498.2504582,222.793149825,Partick Thistle,1560.3320599,0.5,2013-08-16T00:00:00,1-1
Heart of Midlothian,1629.85955866,203.382949453,Aberdeen,1524.40713891,1,2013-08-24T00:00:00,2-1
Heart of Midlothian,1581.06173339,189.598616339,Inverness Caledonian Thistle,1874.02971504,0,2013-08-31T00:00:00,2-0
Heart of Midlothian,1549.62055957,182.250934121,Celtic,1909.17907837,0,2013-09-14T00:00:00,1-3
Heart of Midlothian,1430.32457998,174.748506046,Ross County,1410.94357682,0,2013-09-21T00:00:00,2-1
Heart of Midlothian,1451.67120547,165.312546736,Dundee United,1536.36698213,0.5,2013-09-28T00:00:00,0-0
Heart of Midlothian,1351.77289242,161.435666245,St Mirren,1327.64462875,0,2013-10-05T00:00:00,0-2
Heart of Midlothian,1324.76577368,157.79381091,Motherwell,1635.23225148,0,2013-10-19T00:00:00,2-1
Heart of Midlothian,1269.10326367,151.25319362,Kilmarnock,1403.85619975,0,2013-10-26T00:00:00,2-0
Heart of Midlothian,1241.49477282,148.62882773,St Johnstone,1519.49611529,0,2013-11-02T00:00:00,0-2
Heart of Midlothian,1348.19244409,150.686074501,Aberdeen,1562.50002795,1,2013-11-09T00:00:00,1-3
Heart of Midlothian,1343.05881633,145.361767758,Ross County,1317.19164198,0.5,2013-11-23T00:00:00,2-2
