fullname,mu,sigma,opp,opp_rating,result,date,score
Heerenveen,1663.9182108,291.752894037,AZ Alkmaar,1336.0817892,1,2013-08-03T00:00:00,4-2
Heerenveen,1755.03673757,254.329313137,NAC Breda,1408.88501446,1,2013-08-10T00:00:00,0-2
Heerenveen,1522.17577987,243.264319348,SC Heracles Almelo,1529.87318676,0,2013-08-18T00:00:00,2-4
Heerenveen,1517.5973,214.667468008,Ajax Amsterdam,1507.78184198,0.5,2013-08-23T00:00:00,3-3
Heerenveen,1518.81652394,193.774325441,Twente Enschede,1522.0760689,0.5,2013-08-31T00:00:00,1-1
Heerenveen,1597.16890764,178.481978342,FC Groningen,1441.90965793,1,2013-09-15T00:00:00,4-2
Heerenveen,1551.26588652,172.851411123,Roda JC Kerkrade,1355.85932951,0.5,2013-09-21T00:00:00,3-3
Heerenveen,1625.46113929,162.642333287,Cambuur Leeuwarden,1521.56797115,1,2013-09-29T00:00:00,2-1
Heerenveen,1543.6440145,155.810658825,Vitesse Arnhem,1578.65821238,0,2013-10-19T00:00:00,2-3
Heerenveen,1446.43337644,153.569565011,NEC Nijmegen,1372.46246284,0,2013-10-25T00:00:00,2-1
Heerenveen,1389.16304405,147.400680627,FC Utrecht,1495.58455524,0,2013-11-03T00:00:00,2-0
Heerenveen,1435.93481285,142.929433844,RKC Waalwijk,1294.63446714,1,2013-11-08T00:00:00,5-2
Heerenveen,1431.38730861,139.03352088,PSV Eindhoven,1406.2902243,0.5,2013-11-23T00:00:00,1-1
