fullname,mu,sigma,opp,opp_rating,result,date,score
Hellas Verona,1663.9182108,291.752894037,AC Milan,1336.0817892,1,2013-08-24T00:00:00,2-1
Hellas Verona,1531.54446425,250.35836702,AS Roma,1796.29195735,0,2013-09-01T00:00:00,3-0
Hellas Verona,1576.65560968,232.102147901,Sassuolo,1158.59689723,1,2013-09-15T00:00:00,2-0
Hellas Verona,1518.08864786,211.353162361,Juventus,1833.51453226,0,2013-09-22T00:00:00,2-1
Hellas Verona,1524.15363327,191.651315193,Torino,1540.88612305,0.5,2013-09-25T00:00:00,2-2
Hellas Verona,1595.67862561,176.826572057,Livorno,1424.68422043,1,2013-09-29T00:00:00,2-1
Hellas Verona,1626.17757462,170.887965365,Bologna,1294.92645151,1,2013-10-06T00:00:00,1-4
Hellas Verona,1671.74079219,162.423161967,Parma,1449.76611609,1,2013-10-20T00:00:00,3-2
Hellas Verona,1612.30976077,154.77134084,Internazionale,1744.87076202,0,2013-10-26T00:00:00,4-2
Hellas Verona,1649.16662718,150.03153991,Sampdoria,1424.46967502,1,2013-10-30T00:00:00,2-0
Hellas Verona,1667.2072512,149.769629533,Cagliari,1303.57442224,1,2013-11-03T00:00:00,2-1
Hellas Verona,1591.44542364,145.857602425,Genoa,1593.6395311,0,2013-11-10T00:00:00,2-0
Hellas Verona,1497.14718214,146.633677443,Chievo Verona,1360.39312419,0,2013-11-23T00:00:00,0-1
