fullname,mu,sigma,opp,opp_rating,result,date,score
Hertha Berlin,1663.9182108,291.752894037,Eintracht Frankfurt,1336.0817892,1,2013-08-10T00:00:00,6-1
Hertha Berlin,1618.43054851,254.327731323,Nurnberg,1545.48564986,0.5,2013-08-18T00:00:00,2-2
Hertha Berlin,1677.03438367,230.801711522,Hamburg SV,1310.40411255,1,2013-08-24T00:00:00,1-0
Hertha Berlin,1522.31841471,211.810578498,VfL Wolfsburg,1604.08454056,0,2013-08-31T00:00:00,2-0
Hertha Berlin,1397.43483405,195.553781514,VfB Stuttgart,1485.00622434,0,2013-09-13T00:00:00,0-1
Hertha Berlin,1392.5597338,180.453575137,SC Freiburg,1377.01816411,0.5,2013-09-22T00:00:00,1-1
Hertha Berlin,1469.53427668,168.628026291,Mainz,1348.9085647,1,2013-09-28T00:00:00,3-1
Hertha Berlin,1490.81411,160.593296591,Hannover 96,1581.04953005,0.5,2013-10-04T00:00:00,1-1
Hertha Berlin,1571.06924593,154.526965573,Borussia Monchengladbach,1535.70536433,1,2013-10-19T00:00:00,1-0
Hertha Berlin,1551.45988009,153.631382371,Bayern Munich,1914.23931829,0,2013-10-26T00:00:00,3-2
Hertha Berlin,1492.83982247,147.541013427,Schalke 04,1594.24197295,0,2013-11-02T00:00:00,0-2
Hertha Berlin,1543.84974648,142.954407479,TSG Hoffenheim,1424.04219198,1,2013-11-09T00:00:00,2-3
Hertha Berlin,1513.63358305,140.883768815,Bayer Leverkusen,1747.39182081,0,2013-11-23T00:00:00,0-1
