fullname,mu,sigma,opp,opp_rating,result,date,score
Hull City,1336.0817892,291.752894037,Chelsea,1663.9182108,0,2013-08-18T00:00:00,2-0
Hull City,1518.1858456,254.33564939,Norwich City,1317.90354253,1,2013-08-24T00:00:00,1-0
Hull City,1384.33976927,225.287076439,Manchester City,1571.33431222,0,2013-08-31T00:00:00,2-0
Hull City,1418.32310383,205.29007358,Cardiff City,1504.78489193,0.5,2013-09-14T00:00:00,1-1
Hull City,1546.4787919,191.3553078,Newcastle United,1492.12163466,1,2013-09-21T00:00:00,2-3
Hull City,1593.69749997,179.578994118,West Ham United,1324.17438413,1,2013-09-28T00:00:00,1-0
Hull City,1592.29477115,167.625804524,Aston Villa,1587.12867605,0.5,2013-10-05T00:00:00,0-0
Hull City,1534.64857281,158.789626937,Everton,1690.56498909,0,2013-10-19T00:00:00,2-1
Hull City,1490.30341534,152.449014059,Tottenham Hotspur,1682.59156888,0,2013-10-27T00:00:00,1-0
Hull City,1515.20851575,150.662190132,Sunderland,1201.6161832,1,2013-11-02T00:00:00,1-0
Hull City,1475.91878147,146.245818612,Southampton,1672.86387567,0,2013-11-09T00:00:00,4-1
