fullname,mu,sigma,opp,opp_rating,result,date,score
Internazionale,1663.9182108,291.752894037,Genoa,1336.0817892,1,2013-08-25T00:00:00,2-0
Internazionale,1722.85508374,263.968963767,Catania,1277.14491626,1,2013-09-01T00:00:00,0-3
Internazionale,1742.39081872,229.917950248,Juventus,1778.77678815,0.5,2013-09-14T00:00:00,1-1
Internazionale,1757.68141135,226.096033666,Sassuolo,1148.68445568,1,2013-09-22T00:00:00,0-7
Internazionale,1849.63073646,201.808722687,Fiorentina,1652.22389785,1,2013-09-26T00:00:00,2-1
Internazionale,1785.33652855,193.853042697,Cagliari,1558.44195812,0.5,2013-09-29T00:00:00,1-1
Internazionale,1732.01965635,181.171560975,AS Roma,1985.89193441,0,2013-10-05T00:00:00,0-3
Internazionale,1693.13902036,173.019499189,Torino,1540.17816094,0.5,2013-10-20T00:00:00,3-3
Internazionale,1761.50774899,162.236586143,Hellas Verona,1637.80884943,1,2013-10-26T00:00:00,4-2
Internazionale,1719.59320266,159.273086637,Atalanta,1506.18855029,0.5,2013-10-29T00:00:00,1-1
Internazionale,1746.21161985,155.838962476,Udinese,1439.30731148,1,2013-11-03T00:00:00,0-3
Internazionale,1762.98382791,155.433649898,Livorno,1370.6951354,1,2013-11-09T00:00:00,2-0
Internazionale,1711.31090627,156.542941867,Bologna,1379.06250093,0.5,2013-11-24T00:00:00,1-1
