fullname,mu,sigma,opp,opp_rating,result,date,score
Inverness Caledonian Thistle,1663.9182108,291.752894037,St Mirren,1336.0817892,1,2013-08-03T00:00:00,3-0
Inverness Caledonian Thistle,1755.03673757,254.329313137,Dundee United,1408.88501446,1,2013-08-10T00:00:00,0-1
Inverness Caledonian Thistle,1818.4791907,229.3900091,Motherwell,1469.60233387,1,2013-08-17T00:00:00,2-0
Inverness Caledonian Thistle,1824.01421262,206.562180355,Celtic,1837.39996347,0.5,2013-08-24T00:00:00,2-2
Inverness Caledonian Thistle,1874.02971504,191.80497255,Heart of Midlothian,1581.06173339,1,2013-08-31T00:00:00,2-0
Inverness Caledonian Thistle,1881.64490124,193.089064169,Kilmarnock,1222.55898141,1,2013-09-14T00:00:00,1-2
Inverness Caledonian Thistle,1740.63159526,184.835928123,Aberdeen,1696.38554447,0,2013-09-21T00:00:00,1-0
Inverness Caledonian Thistle,1775.18653989,176.430022853,Hibernian,1459.14220975,1,2013-09-28T00:00:00,3-0
Inverness Caledonian Thistle,1636.13276195,174.89917838,St Johnstone,1478.93767365,0,2013-10-05T00:00:00,4-0
Inverness Caledonian Thistle,1511.77096224,170.144103376,Partick Thistle,1426.22674444,0,2013-10-20T00:00:00,1-2
Inverness Caledonian Thistle,1560.39735025,161.201524406,Kilmarnock,1359.46064039,1,2013-11-02T00:00:00,2-1
Inverness Caledonian Thistle,1605.12598849,154.022287965,Hibernian,1413.58104427,1,2013-11-09T00:00:00,0-2
Inverness Caledonian Thistle,1654.63173353,147.984307048,St Johnstone,1507.60770051,1,2013-11-23T00:00:00,1-0
