mu,sigma,opp,opp_rating,result,date
1663.9182108,291.752894037,Sampdoria,1500,1,2013-08-24T00:00:00
1796.29195735,250.35836702,Lazio,1663.9182108,1,2013-08-31T00:00:00
1778.77678815,222.316901499,Internazionale,1722.85508374,0.5,2013-09-14T00:00:00
1833.51453226,204.810228369,Hellas Verona,1576.65560968,1,2013-09-22T00:00:00
1859.69472929,197.603669592,Chievo Verona,1455.565314,1,2013-09-25T00:00:00
1890.07460915,189.304297717,Torino,1540.88612305,1,2013-09-29T00:00:00
1912.24705352,184.710545287,AC Milan,1507.77830288,1,2013-10-06T00:00:00
1776.36740233,179.010403354,Fiorentina,1583.93671763,0,2013-10-20T00:00:00
1720.31331301,167.804344998,Real Madrid,1860.07481503,0,2013-10-23T00:00:00
1740.94617853,165.337362119,Genoa,1377.14686677,1,2013-10-27T00:00:00
1753.12199618,165.923440482,Catania,1281.79809546,1,2013-10-30T00:00:00
1776.6659352,162.571972269,Parma,1449.63356588,1,2013-11-02T00:00:00
1788.97514939,154.9396607,Real Madrid,1855.85315584,0.5,2013-11-05T00:00:00
1860.73425212,149.355032885,Napoli,1889.78133834,1,2013-11-10T00:00:00
