mu,sigma,opp,opp_rating,result,date
1336.0817892,291.752894037,Barcelona,1500,0,2013-08-18T00:00:00
1336.0817892,250.354123746,Sevilla FC,1336.0817892,0.5,2013-08-25T00:00:00
1497.85884656,225.320625582,Rayo Vallecano,1531.54446425,1,2013-08-30T00:00:00
1546.38524792,205.703704996,Real Sociedad,1706.89204417,0.5,2013-09-14T00:00:00
1509.02744633,191.866465913,Almeria,1351.28382541,0.5,2013-09-21T00:00:00
1489.24057081,178.671512167,Real Valladolid,1400.75698826,0.5,2013-09-24T00:00:00
1526.8043322,171.151778859,Osasuna,1278.67825074,1,2013-09-29T00:00:00
1500.11076894,166.797285431,Real Madrid,1814.65020844,0,2013-10-05T00:00:00
1536.98643538,160.444824613,Celta Vigo,1317.14236899,1,2013-10-21T00:00:00
1607.45916003,153.405224507,Espanyol,1607.79498553,1,2013-10-26T00:00:00
1579.81824782,149.792433995,Real Betis,1407.00231103,0.5,2013-10-31T00:00:00
1510.51599157,145.238451398,Granada,1474.05772569,0,2013-11-03T00:00:00
1474.03504568,141.743074096,Athletic Bilbao,1630.9908975,0,2013-11-09T00:00:00
