mu,sigma,opp,opp_rating,result,date
1663.9182108,291.752894037,Lorient,1500,1,2013-08-10T00:00:00
1428.5128981,263.983836944,Stade de Reims,1336.0817892,0,2013-08-17T00:00:00
1629.5096702,240.788471555,St Etienne,1722.85508374,1,2013-08-25T00:00:00
1608.01599979,213.726185369,Stade Rennes,1541.34763407,0.5,2013-08-31T00:00:00
1499.05153455,194.08856246,Nice,1521.69862305,0,2013-09-15T00:00:00
1537.73875455,183.682416525,Sochaux,1256.81599836,1,2013-09-21T00:00:00
1608.17865288,170.429166652,Evian Thonon Gaillard,1522.18864884,1,2013-09-24T00:00:00
1573.00117783,163.740265148,Lyon,1392.03472577,0.5,2013-09-28T00:00:00
1611.64963535,157.288441996,AC Ajaccio,1412.12587075,1,2013-10-05T00:00:00
1662.93287146,150.392941429,Montpellier,1562.37529894,1,2013-10-19T00:00:00
1714.79975938,145.070276449,Nantes,1644.35985978,1,2013-10-25T00:00:00
1770.48743763,141.456402349,AS Monaco,1754.16359078,1,2013-11-03T00:00:00
1737.66243619,141.603434839,Guingamp,1490.14248393,0.5,2013-11-09T00:00:00
