fullname,mu,sigma,opp,opp_rating,result,date,score
Livorno,1336.0817892,291.752894037,AS Roma,1663.9182108,0,2013-08-25T00:00:00,0-2
Livorno,1468.45553575,250.35836702,Sassuolo,1203.70804265,1,2013-09-01T00:00:00,1-4
Livorno,1536.19848206,225.969420696,Catania,1203.68921235,1,2013-09-15T00:00:00,2-0
Livorno,1508.73726683,204.670674643,Genoa,1440.05037503,0.5,2013-09-21T00:00:00,0-0
Livorno,1494.0648849,188.241271675,Cagliari,1450.4578513,0.5,2013-09-25T00:00:00,1-1
Livorno,1424.68422043,174.539668662,Hellas Verona,1595.67862561,0,2013-09-29T00:00:00,2-1
Livorno,1405.46888057,172.132115809,Napoli,1826.33457203,0,2013-10-06T00:00:00,4-0
Livorno,1316.32084025,163.916111693,Sampdoria,1365.97080372,0,2013-10-20T00:00:00,1-2
Livorno,1239.4860837,156.44313874,Bologna,1301.91019511,0,2013-10-27T00:00:00,1-0
Livorno,1272.11390634,153.360403361,Torino,1442.83536182,0.5,2013-10-30T00:00:00,3-3
Livorno,1360.93113742,150.332843677,Atalanta,1405.30013146,1,2013-11-03T00:00:00,1-0
Livorno,1345.57963668,150.96653422,Internazionale,1745.06963481,0,2013-11-09T00:00:00,2-0
