fullname,mu,sigma,opp,opp_rating,result,date,score
Lorient,1336.0817892,291.752894037,Lille,1663.9182108,0,2013-08-10T00:00:00,1-0
Lorient,1571.4871019,263.983836944,Nantes,1428.5128981,1,2013-08-18T00:00:00,2-1
Lorient,1370.4903298,240.788471555,Guingamp,1478.09086705,0,2013-08-24T00:00:00,2-0
Lorient,1476.69326257,213.667276568,Valenciennes,1271.76509408,1,2013-08-31T00:00:00,1-0
Lorient,1442.1051276,202.774294393,AS Monaco,1835.0349948,0,2013-09-15T00:00:00,1-0
Lorient,1414.97288797,186.002620003,Bordeaux,1333.67775838,0.5,2013-09-22T00:00:00,3-3
Lorient,1359.59021056,173.889834236,Toulouse,1579.16376724,0,2013-09-25T00:00:00,1-0
Lorient,1326.64031584,167.238165946,Marseille,1625.66397162,0,2013-09-28T00:00:00,0-2
Lorient,1282.75619013,159.405325346,Bastia,1500.35173793,0,2013-10-04T00:00:00,4-1
Lorient,1243.07787698,153.525064781,St Etienne,1463.16305906,0,2013-10-20T00:00:00,3-2
Lorient,1302.59934623,147.61201356,Sochaux,1204.50153044,1,2013-10-26T00:00:00,2-1
Lorient,1293.41330806,150.421448717,Paris Saint-Germain,1790.36083439,0,2013-11-01T00:00:00,4-0
Lorient,1330.78208208,149.353084787,Stade de Reims,1549.78374253,0.5,2013-11-09T00:00:00,0-0
Lorient,1409.14322692,145.630291213,Evian Thonon Gaillard,1424.30461517,1,2013-11-23T00:00:00,0-4
