fullname,mu,sigma,opp,opp_rating,result,date
Lyon,1663.9182108,291.752894037,Nice,1500,1,2013-08-10T00:00:00
Lyon,1755.03673757,254.329313137,Sochaux,1500.0,1,2013-08-16T00:00:00
Lyon,1624.95734876,227.496498088,Real Sociedad,1663.9182108,0,2013-08-20T00:00:00
Lyon,1519.80131817,206.528436092,Stade de Reims,1571.4871019,0,2013-08-24T00:00:00
Lyon,1473.07438814,193.827752125,Real Sociedad,1735.41934945,0,2013-08-28T00:00:00
Lyon,1365.4395117,182.4120546,Evian Thonon Gaillard,1302.7264041,0,2013-08-31T00:00:00
Lyon,1397.26844657,173.753575975,Stade Rennes,1560.8351287,0.5,2013-09-15T00:00:00
Lyon,1408.12831749,165.060380028,Real Betis,1468.21010976,0.5,2013-09-19T00:00:00
Lyon,1478.80361437,157.825828765,Nantes,1475.22041212,1,2013-09-22T00:00:00
Lyon,1392.03472577,153.818306731,AC Ajaccio,1279.09358614,0,2013-09-25T00:00:00
Lyon,1420.72839728,150.79864499,Lille,1608.17865288,0.5,2013-09-28T00:00:00
Lyon,1379.28355276,146.066122741,Montpellier,1518.34748835,0,2013-10-06T00:00:00
Lyon,1385.07288827,141.755182233,Bordeaux,1422.19761182,0.5,2013-10-20T00:00:00
Lyon,1369.81273255,143.227885902,AS Monaco,1733.01792044,0,2013-10-27T00:00:00
Lyon,1447.28461374,141.553312535,Guingamp,1570.7877561,1,2013-11-02T00:00:00
Lyon,1499.38147207,138.272200518,St Etienne,1468.34209947,1,2013-11-10T00:00:00
