fullname,mu,sigma,opp,opp_rating,result,date,score
Mainz,1663.9182108,291.752894037,VfB Stuttgart,1336.0817892,1,2013-08-11T00:00:00,3-2
Mainz,1722.85508374,263.968963767,SC Freiburg,1277.14491626,1,2013-08-17T00:00:00,1-2
Mainz,1793.65973787,235.252907057,VfL Wolfsburg,1451.26823801,1,2013-08-24T00:00:00,2-0
Mainz,1622.25083312,217.432707892,Hannover 96,1685.04132669,0,2013-08-31T00:00:00,4-1
Mainz,1491.32930179,199.939548856,Schalke 04,1582.34393226,0,2013-09-14T00:00:00,0-1
Mainz,1428.27009655,183.630288695,Bayer Leverkusen,1648.46555097,0,2013-09-21T00:00:00,1-4
Mainz,1348.9085647,170.818939149,Hertha Berlin,1469.53427668,0,2013-09-28T00:00:00,3-1
Mainz,1364.99336456,161.901748377,TSG Hoffenheim,1430.95274375,0.5,2013-10-05T00:00:00,2-2
Mainz,1355.88097613,163.926456479,Bayern Munich,1892.26678798,0,2013-10-19T00:00:00,4-1
Mainz,1398.06985147,157.264253412,TSV Eintracht Braunschweig,1175.57785781,1,2013-10-26T00:00:00,2-0
Mainz,1336.25077623,150.267558516,FC Augsburg,1434.66513162,0,2013-11-03T00:00:00,2-1
Mainz,1394.87522573,144.815838066,Eintracht Frankfurt,1307.58312017,1,2013-11-10T00:00:00,1-0
Mainz,1448.69453132,140.461214406,Werder Bremen,1358.27342038,1,2013-11-24T00:00:00,2-3
