fullname,mu,sigma,opp,opp_rating,result,date,score
Malaga,1336.0817892,291.752894037,Valencia,1663.9182108,0,2013-08-17T00:00:00,1-0
Malaga,1277.14491626,263.968963767,Barcelona,1722.85508374,0,2013-08-25T00:00:00,0-1
Malaga,1292.83413305,229.62605431,Sevilla FC,1322.01333526,0.5,2013-09-01T00:00:00,2-2
Malaga,1409.60694959,205.755248216,Rayo Vallecano,1256.75920774,1,2013-09-15T00:00:00,5-0
Malaga,1462.25893018,193.251458803,Real Sociedad,1627.46442393,0.5,2013-09-21T00:00:00,0-0
Malaga,1527.22833984,178.979818579,Almeria,1324.47164507,1,2013-09-24T00:00:00,2-0
Malaga,1509.44902293,168.426607216,Real Valladolid,1442.12307431,0.5,2013-09-27T00:00:00,2-2
Malaga,1403.32434954,164.428727827,Osasuna,1366.81099544,0,2013-10-04T00:00:00,0-1
Malaga,1389.91028603,164.795873275,Real Madrid,1860.07481503,0,2013-10-19T00:00:00,2-0
Malaga,1309.38760165,157.340687269,Celta Vigo,1359.70449411,0,2013-10-26T00:00:00,0-5
Malaga,1340.70525606,153.573475695,Espanyol,1499.81951802,0.5,2013-10-29T00:00:00,0-0
Malaga,1411.28286463,148.030497196,Real Betis,1366.91517123,1,2013-11-03T00:00:00,3-2
Malaga,1375.2665804,144.21890741,Granada,1580.98056539,0,2013-11-08T00:00:00,3-1
