mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,Newcastle United,1,2013-08-19T00:00:00
1433.06224852,260.486583291,Cardiff City,0,2013-08-25T00:00:00
1568.88100709,225.831060645,Hull City,1,2013-08-31T00:00:00
1575.44905709,199.469533524,Stoke City,0.5,2013-09-14T00:00:00
1689.37073098,181.312187127,Manchester United,1,2013-09-22T00:00:00
1581.43556372,169.078141679,Aston Villa,0,2013-09-28T00:00:00
1556.27562513,160.411501971,Bayern Munich,0,2013-10-02T00:00:00
1636.42887158,150.661730417,Everton,1,2013-10-05T00:00:00
1665.5214826,142.702793144,West Ham United,1,2013-10-19T00:00:00
1628.33054278,134.363797301,Chelsea,0,2013-10-27T00:00:00
1648.3182875,129.21635689,Norwich City,1,2013-11-02T00:00:00
