fullname,mu,sigma,opp,opp_rating,result,date,score
Manchester United,1663.9182108,291.752894037,Swansea City,1336.0817892,1,2013-08-17T00:00:00,1-4
Manchester United,1704.35861538,248.864293259,Chelsea,1766.95866018,0.5,2013-08-26T00:00:00,0-0
Manchester United,1609.5533188,219.8743577,Liverpool,1857.85405658,0,2013-09-01T00:00:00,1-0
Manchester United,1657.41429273,204.329719963,Crystal Palace,1318.71432336,1,2013-09-14T00:00:00,2-0
Manchester United,1746.2469622,186.515232475,Bayer Leverkusen,1592.36517393,1,2013-09-17T00:00:00,4-2
Manchester United,1642.84658337,176.142393009,Manchester City,1702.88870733,0,2013-09-22T00:00:00,4-1
Manchester United,1522.87961294,171.634668418,West Bromwich Albion,1467.73556136,0,2013-09-28T00:00:00,1-2
Manchester United,1522.87961294,171.634668418,Shakhtar Donetsk,-1,0.5,2013-10-02T00:00:00,1-1
Manchester United,1539.71813379,170.551112241,Sunderland,1090.27425984,1,2013-10-05T00:00:00,1-2
Manchester United,1560.92335875,162.370535152,Southampton,1649.33817612,0.5,2013-10-19T00:00:00,1-1
Manchester United,1608.50143515,154.783996664,Real Sociedad,1426.10380928,1,2013-10-23T00:00:00,1-0
Manchester United,1634.0974335,152.285640331,Stoke City,1327.78101995,1,2013-10-26T00:00:00,3-2
Manchester United,1656.229873,150.855744775,Fulham,1326.60385404,1,2013-11-02T00:00:00,1-3
Manchester United,1634.25845285,146.631080191,Real Sociedad,1519.51173567,0.5,2013-11-05T00:00:00,0-0
Manchester United,1725.09791491,146.284066848,Arsenal,1828.17833151,1,2013-11-10T00:00:00,1-0
Manchester United,1687.12840563,146.406922003,Cardiff City,1447.03388157,0.5,2013-11-24T00:00:00,2-2
