fullname,mu,sigma,opp,opp_rating,result,date,score
Marseille,1663.9182108,291.752894037,Guingamp,1336.0817892,1,2013-08-11T00:00:00,1-3
Marseille,1755.03673757,254.329313137,Evian Thonon Gaillard,1408.88501446,1,2013-08-17T00:00:00,2-0
Marseille,1801.86461644,235.457358737,Valenciennes,1379.05987015,1,2013-08-24T00:00:00,0-1
Marseille,1666.01554794,212.405552963,AS Monaco,1800.05231213,0,2013-09-01T00:00:00,1-2
Marseille,1598.661454,202.794151656,Toulouse,1381.95886363,0.5,2013-09-14T00:00:00,1-1
Marseille,1544.17682386,188.754476197,Arsenal,1817.93775914,0,2013-09-18T00:00:00,1-2
Marseille,1531.45341436,175.33855777,Bastia,1488.13381014,0.5,2013-09-21T00:00:00,0-0
Marseille,1595.40414833,165.083162412,St Etienne,1438.31944646,1,2013-09-24T00:00:00,2-1
Marseille,1625.66397162,160.342926148,Lorient,1326.64031584,1,2013-09-28T00:00:00,0-2
Marseille,1582.30037573,154.339283555,Borussia Dortmund,1791.08973001,0,2013-10-01T00:00:00,3-0
Marseille,1550.05651826,150.4924961,Paris Saint-Germain,1805.15678298,0,2013-10-06T00:00:00,1-2
Marseille,1490.70610927,145.277763809,Nice,1578.49402423,0,2013-10-18T00:00:00,1-0
Marseille,1473.45645531,145.793006113,Napoli,1838.40669143,0,2013-10-22T00:00:00,1-2
Marseille,1420.64890551,141.63106803,Stade de Reims,1525.57863281,0,2013-10-26T00:00:00,2-3
Marseille,1428.01922975,138.274502028,Stade Rennes,1469.86219389,0.5,2013-11-02T00:00:00,1-1
Marseille,1419.89890078,141.93812905,Napoli,1917.01586654,0,2013-11-06T00:00:00,3-2
Marseille,1448.91520587,140.020424532,Sochaux,1210.78678693,1,2013-11-10T00:00:00,2-1
Marseille,1477.56188158,138.319622005,AC Ajaccio,1244.21387966,1,2013-11-22T00:00:00,1-3
