fullname,mu,sigma,opp,opp_rating,result,date,score
Montpellier,1500.0,291.750423517,Paris Saint-Germain,1500.0,0.5,2013-08-09T00:00:00,1-1
Montpellier,1408.88501446,254.324638642,AS Monaco,1755.03673757,0,2013-08-18T00:00:00,4-1
Montpellier,1520.64076165,223.378450686,Sochaux,1297.12926728,1,2013-08-24T00:00:00,2-1
Montpellier,1520.94130402,201.423056013,Nice,1521.69862305,0.5,2013-09-01T00:00:00,2-2
Montpellier,1541.45164807,186.217601922,Stade de Reims,1604.600342,0.5,2013-09-14T00:00:00,0-0
Montpellier,1537.13314687,172.780753261,Evian Thonon Gaillard,1522.18864884,0.5,2013-09-21T00:00:00,2-2
Montpellier,1541.47574486,162.725377496,Stade Rennes,1558.72269388,0.5,2013-09-26T00:00:00,0-0
Montpellier,1518.34748835,156.44766375,AC Ajaccio,1412.12587075,0.5,2013-09-29T00:00:00,1-1
Montpellier,1562.37529894,150.185279144,Lyon,1379.28355276,1,2013-10-06T00:00:00,5-1
Montpellier,1515.03655523,145.044113968,Lille,1662.93287146,0,2013-10-19T00:00:00,0-1
Montpellier,1449.67329548,141.256748572,Bordeaux,1481.54987753,0,2013-10-27T00:00:00,2-0
Montpellier,1467.39576425,138.848741299,Nantes,1571.68460584,0.5,2013-11-03T00:00:00,1-1
Montpellier,1443.49258144,138.015808828,Valenciennes,1291.69064357,0.5,2013-11-09T00:00:00,1-1
