fullname,mu,sigma,opp,opp_rating,result,date,score
Motherwell,1500,350,Kuban Krasnodar,-1,0,2013-08-01T00:00:00,0-2
Motherwell,1663.9182108,291.752894037,Hibernian,1336.0817892,1,2013-08-04T00:00:00,0-1
Motherwell,1663.9182108,291.752894037,Kuban Krasnodar,-1,0,2013-08-08T00:00:00,1-0
Motherwell,1531.54446425,250.35836702,Aberdeen,1796.29195735,0,2013-08-11T00:00:00,1-3
Motherwell,1469.60233387,226.846195436,Inverness Caledonian Thistle,1818.4791907,0,2013-08-17T00:00:00,2-0
Motherwell,1587.65043458,204.156688007,Partick Thistle,1443.89226492,1,2013-08-24T00:00:00,1-0
Motherwell,1619.59484615,195.104894329,Kilmarnock,1230.60627676,1,2013-08-31T00:00:00,2-1
Motherwell,1636.99737092,192.123833047,St Mirren,1140.35190668,1,2013-09-14T00:00:00,0-1
Motherwell,1618.51226461,177.916602446,Dundee United,1557.45333558,0.5,2013-09-22T00:00:00,2-2
Motherwell,1656.24476159,169.683366804,Ross County,1374.81616366,1,2013-09-28T00:00:00,3-1
Motherwell,1608.3662517,161.033779254,Celtic,1814.23243566,0,2013-10-05T00:00:00,2-0
Motherwell,1635.23225148,157.379525524,Heart of Midlothian,1324.76577368,1,2013-10-19T00:00:00,2-1
Motherwell,1540.53808241,154.131265848,St Johnstone,1490.09913492,0,2013-10-27T00:00:00,2-0
Motherwell,1591.27167983,147.895802917,Hibernian,1450.69078389,1,2013-11-03T00:00:00,1-0
Motherwell,1535.99188799,142.978141775,Dundee United,1631.93572141,0,2013-11-09T00:00:00,0-4
Motherwell,1561.97534408,141.558225403,Kilmarnock,1295.97140229,1,2013-11-23T00:00:00,0-2
