fullname,mu,sigma,opp,opp_rating,result,date,score
NAC Breda,1500.0,291.750423517,Cambuur Leeuwarden,1500.0,0.5,2013-08-04T00:00:00,0-0
NAC Breda,1408.88501446,254.324638642,Heerenveen,1755.03673757,0,2013-08-10T00:00:00,0-2
NAC Breda,1253.02097574,226.921765372,ADO Den Haag,1400.83813983,0,2013-08-18T00:00:00,1-2
NAC Breda,1138.19291207,204.181904775,Feyenoord Rotterdam,1290.21650657,0,2013-08-25T00:00:00,3-1
NAC Breda,1171.59901081,190.592909846,NEC Nijmegen,1275.23496436,0.5,2013-08-30T00:00:00,1-1
NAC Breda,1299.59237643,181.933787194,Roda JC Kerkrade,1307.31089609,1,2013-09-15T00:00:00,1-5
NAC Breda,1432.02797668,177.270937821,AZ Alkmaar,1507.57311507,1,2013-09-22T00:00:00,3-0
NAC Breda,1448.75619093,166.918694774,PEC Zwolle,1512.83737794,0.5,2013-09-28T00:00:00,0-0
NAC Breda,1518.96100853,158.105212106,SC Heracles Almelo,1419.76556751,1,2013-10-05T00:00:00,2-1
NAC Breda,1447.93164152,151.665103096,FC Utrecht,1511.17288803,0,2013-10-19T00:00:00,4-2
NAC Breda,1513.19928491,146.256108175,Go Ahead Eagles,1452.00299676,1,2013-10-26T00:00:00,5-0
NAC Breda,1425.77637683,145.573007296,RKC Waalwijk,1343.94748434,0,2013-11-01T00:00:00,3-0
NAC Breda,1482.1967709,141.20930315,PSV Eindhoven,1402.14838683,1,2013-11-10T00:00:00,2-1
NAC Breda,1440.54497739,138.075451449,Twente Enschede,1588.23510842,0,2013-11-24T00:00:00,5-2
