mu,sigma,opp,opp_rating,result,date
1663.9182108,291.752894037,Bastia,1500,1,2013-08-10T00:00:00
1428.5128981,263.983836944,Lorient,1336.0817892,0,2013-08-18T00:00:00
1317.31574669,229.597031451,Paris Saint-Germain,1454.51435014,0,2013-08-25T00:00:00
1397.7253826,218.594144371,Stade de Reims,1707.18072229,0.5,2013-08-31T00:00:00
1475.22041212,196.830839783,Sochaux,1325.36049527,1,2013-09-14T00:00:00
1378.81184928,179.820944968,Lyon,1408.12831749,0,2013-09-22T00:00:00
1496.81680734,173.395618543,Nice,1648.0904305,1,2013-09-25T00:00:00
1574.96764636,163.137719457,Stade Rennes,1558.72269388,1,2013-09-29T00:00:00
1617.51580617,156.102259399,Evian Thonon Gaillard,1444.9243434,1,2013-10-05T00:00:00
1644.35985978,153.067376601,AC Ajaccio,1374.52474201,1,2013-10-19T00:00:00
1590.87400143,147.085116746,Lille,1662.93287146,0,2013-10-25T00:00:00
1571.68460584,143.516314669,Montpellier,1449.67329548,0.5,2013-11-03T00:00:00
1618.03367879,139.514937591,Bordeaux,1534.81538899,1,2013-11-10T00:00:00
