fullname,mu,sigma,opp,opp_rating,result,date,score
Napoli,1663.9182108,291.752894037,Bologna,1336.0817892,1,2013-08-25T00:00:00,3-0
Napoli,1755.03673757,254.329313137,Chievo Verona,1408.88501446,1,2013-08-31T00:00:00,2-4
Napoli,1825.89922554,228.378007029,Atalanta,1496.45672163,1,2013-09-14T00:00:00,2-0
Napoli,1938.4509492,203.98313812,Borussia Dortmund,1782.85736015,1,2013-09-18T00:00:00,2-1
Napoli,2002.34736268,186.72029207,AC Milan,1775.30086017,1,2013-09-22T00:00:00,1-2
Napoli,1921.25831461,190.321890914,Sassuolo,1277.95815166,0.5,2013-09-25T00:00:00,1-1
Napoli,1930.62197857,190.876150808,Genoa,1323.84590887,1,2013-09-28T00:00:00,0-2
Napoli,1847.35591439,176.016551246,Arsenal,1975.78106444,0,2013-10-01T00:00:00,2-0
Napoli,1864.84054252,174.049066979,Livorno,1424.40056574,1,2013-10-06T00:00:00,4-0
Napoli,1817.1723307,165.290306926,AS Roma,2042.80596128,0,2013-10-18T00:00:00,2-0
Napoli,1838.40669143,162.618979056,Marseille,1473.45645531,1,2013-10-22T00:00:00,1-2
Napoli,1861.83249063,159.87982966,Torino,1514.65734862,1,2013-10-27T00:00:00,2-0
Napoli,1902.02797786,153.962846354,Fiorentina,1681.67209914,1,2013-10-30T00:00:00,1-2
Napoli,1907.06300674,157.87568547,Catania,1274.55704304,1,2013-11-02T00:00:00,2-1
Napoli,1917.01586654,159.61295521,Marseille,1419.89890078,1,2013-11-06T00:00:00,3-2
Napoli,1841.15366392,152.769394348,Juventus,1886.49581212,0,2013-11-10T00:00:00,3-0
Napoli,1733.35495629,153.388471819,Parma,1560.42891187,0,2013-11-23T00:00:00,0-1
