fullname,mu,sigma,opp,opp_rating,result,date,score
NEC Nijmegen,1336.0817892,291.752894037,FC Groningen,1663.9182108,0,2013-08-03T00:00:00,1-4
NEC Nijmegen,1277.14491626,263.968963767,PSV Eindhoven,1722.85508374,0,2013-08-10T00:00:00,5-0
NEC Nijmegen,1243.44505583,249.445326811,PEC Zwolle,1756.55494417,0,2013-08-17T00:00:00,1-5
NEC Nijmegen,1317.5714857,228.965109034,RKC Waalwijk,1482.970037,0.5,2013-08-24T00:00:00,2-2
NEC Nijmegen,1275.23496436,207.253257841,NAC Breda,1171.59901081,0.5,2013-08-30T00:00:00,1-1
NEC Nijmegen,1308.89982201,190.837411168,Feyenoord Rotterdam,1407.74234868,0.5,2013-09-15T00:00:00,3-3
NEC Nijmegen,1304.86826615,176.428296839,ADO Den Haag,1291.49444378,0.5,2013-09-21T00:00:00,1-1
NEC Nijmegen,1285.09831842,173.563475803,Vitesse Arnhem,1701.33109199,0,2013-09-29T00:00:00,2-3
NEC Nijmegen,1245.0034851,165.056563237,Go Ahead Eagles,1496.73399132,0,2013-10-05T00:00:00,4-3
NEC Nijmegen,1272.25657314,158.450824634,SC Heracles Almelo,1394.81596141,0.5,2013-10-20T00:00:00,1-1
NEC Nijmegen,1372.46246284,155.584728281,Heerenveen,1446.43337644,1,2013-10-25T00:00:00,2-1
NEC Nijmegen,1402.66011403,151.675364176,Twente Enschede,1557.5320016,0.5,2013-11-02T00:00:00,2-2
NEC Nijmegen,1372.64558376,148.133226298,Ajax Amsterdam,1627.56364541,0,2013-11-10T00:00:00,0-3
NEC Nijmegen,1321.47276091,142.879843062,Cambuur Leeuwarden,1436.62072151,0,2013-11-23T00:00:00,2-1
