fullname,mu,sigma,opp,opp_rating,result,date,score
Norwich City,1500.0,291.750423517,Everton,1500.0,0.5,2013-08-17T00:00:00,2-2
Norwich City,1317.90354253,254.330954643,Hull City,1518.1858456,0,2013-08-24T00:00:00,1-0
Norwich City,1497.5465154,231.869822082,Southampton,1382.4844754,1,2013-08-31T00:00:00,1-0
Norwich City,1412.99494588,207.648013293,Tottenham Hotspur,1649.31211122,0,2013-09-14T00:00:00,2-0
Norwich City,1319.13568897,188.92741508,Aston Villa,1467.31074685,0,2013-09-21T00:00:00,0-1
Norwich City,1440.04429991,179.470435025,Stoke City,1432.07482749,1,2013-09-29T00:00:00,0-1
Norwich City,1402.35496716,171.337441342,Chelsea,1691.23587609,0,2013-10-06T00:00:00,1-3
Norwich City,1391.43730145,172.187505179,Arsenal,1916.24217551,0,2013-10-19T00:00:00,4-1
Norwich City,1390.51247788,161.745319238,Cardiff City,1386.85258792,0.5,2013-10-26T00:00:00,0-0
Norwich City,1362.66217131,157.711000309,Manchester City,1664.82495441,0,2013-11-02T00:00:00,7-0
Norwich City,1434.206171,151.110294798,West Ham United,1377.28369466,1,2013-11-09T00:00:00,3-1
Norwich City,1404.28630354,147.999112404,Newcastle United,1663.69598542,0,2013-11-23T00:00:00,2-1
