fullname,mu,sigma,opp,opp_rating,result,date,score
Paris Saint-Germain,1500.0,291.750423517,Montpellier,1500.0,0.5,2013-08-09T00:00:00,1-1
Paris Saint-Germain,1454.51435014,254.323061855,AC Ajaccio,1381.56945149,0.5,2013-08-18T00:00:00,1-1
Paris Saint-Germain,1559.14995568,224.298118018,Nantes,1317.31574669,1,2013-08-25T00:00:00,1-2
Paris Saint-Germain,1636.2729072,203.199923424,Guingamp,1391.57260735,1,2013-08-31T00:00:00,2-0
Paris Saint-Germain,1680.6974647,190.40795204,Bordeaux,1367.86701533,1,2013-09-13T00:00:00,0-2
Paris Saint-Germain,1680.6974647,190.40795204,Olympiakos,-1,1,2013-09-17T00:00:00,1-4
Paris Saint-Germain,1708.18990569,178.65241074,AS Monaco,1803.40896613,0.5,2013-09-22T00:00:00,1-1
Paris Saint-Germain,1721.05393648,178.412510211,Valenciennes,1200.3621904,1,2013-09-25T00:00:00,0-1
Paris Saint-Germain,1767.90973659,168.443246692,Toulouse,1532.72761467,1,2013-09-28T00:00:00,2-0
Paris Saint-Germain,1767.90973659,168.443246692,Benfica,-1,1,2013-10-02T00:00:00,3-0
Paris Saint-Germain,1805.15678298,161.286741065,Marseille,1550.05651826,1,2013-10-06T00:00:00,1-2
Paris Saint-Germain,1827.50128025,158.740153226,Bastia,1479.10062497,1,2013-10-19T00:00:00,4-0
Paris Saint-Germain,1827.50128025,158.740153226,Anderlecht,-1,1,2013-10-23T00:00:00,0-5
Paris Saint-Germain,1780.1779036,158.041431818,St Etienne,1509.13206312,0.5,2013-10-27T00:00:00,2-2
Paris Saint-Germain,1790.36083439,159.697105588,Lorient,1293.41330806,1,2013-11-01T00:00:00,4-0
Paris Saint-Germain,1790.36083439,159.697105588,Anderlecht,-1,0.5,2013-11-05T00:00:00,1-1
Paris Saint-Germain,1809.43580048,158.110832716,Nice,1437.14828494,1,2013-11-09T00:00:00,3-1
