fullname,mu,sigma,opp,opp_rating,result,date,score
Parma,1500.0,291.750423517,Chievo Verona,1500.0,0.5,2013-08-25T00:00:00,0-0
Parma,1317.90354253,254.330954643,Udinese,1518.1858456,0,2013-09-01T00:00:00,3-1
Parma,1291.81549823,243.924731225,AS Roma,1837.69421395,0,2013-09-16T00:00:00,1-3
Parma,1270.15965694,216.103023962,Catania,1223.62827695,0.5,2013-09-22T00:00:00,0-0
Parma,1398.19491893,197.996021281,Atalanta,1308.12019953,1,2013-09-25T00:00:00,4-3
Parma,1445.80160854,187.252242649,Fiorentina,1606.95997827,0.5,2013-09-30T00:00:00,2-2
Parma,1502.85083492,175.583274023,Sassuolo,1279.1685006,1,2013-10-06T00:00:00,3-1
Parma,1458.83713694,166.421799004,Hellas Verona,1699.18559117,0,2013-10-20T00:00:00,3-2
Parma,1568.05335619,162.100738344,AC Milan,1636.66288181,1,2013-10-27T00:00:00,3-2
Parma,1474.55634451,157.142998573,Genoa,1457.18004042,0,2013-10-30T00:00:00,1-0
Parma,1453.34466144,155.556081904,Juventus,1805.22385675,0,2013-11-02T00:00:00,0-1
Parma,1457.84408815,148.85871454,Lazio,1479.18897377,0.5,2013-11-10T00:00:00,1-1
Parma,1560.42891187,150.081839263,Napoli,1733.35495629,1,2013-11-23T00:00:00,0-1
