fullname,mu,sigma,opp,opp_rating,result,date,score
PEC Zwolle,1663.9182108,291.752894037,Feyenoord Rotterdam,1336.0817892,1,2013-08-04T00:00:00,2-1
PEC Zwolle,1722.85508374,263.968963767,SC Heracles Almelo,1277.14491626,1,2013-08-10T00:00:00,1-3
PEC Zwolle,1756.55494417,249.445326811,NEC Nijmegen,1243.44505583,1,2013-08-17T00:00:00,1-5
PEC Zwolle,1820.46561237,224.834497482,Cambuur Leeuwarden,1485.52014692,1,2013-08-24T00:00:00,2-0
PEC Zwolle,1756.98401339,210.193429769,FC Utrecht,1582.92137304,0.5,2013-09-01T00:00:00,1-1
PEC Zwolle,1610.93681654,196.129280769,Ajax Amsterdam,1631.62948997,0,2013-09-14T00:00:00,2-1
PEC Zwolle,1530.05271495,179.933142874,Vitesse Arnhem,1681.841694,0,2013-09-22T00:00:00,3-0
PEC Zwolle,1512.83737794,168.730878082,NAC Breda,1448.75619093,0.5,2013-09-28T00:00:00,0-0
PEC Zwolle,1491.83486825,160.628056008,Roda JC Kerkrade,1402.90744009,0.5,2013-10-05T00:00:00,0-0
PEC Zwolle,1536.58685205,154.039619186,ADO Den Haag,1339.40506024,1,2013-10-20T00:00:00,6-1
PEC Zwolle,1484.21038549,147.823415209,AZ Alkmaar,1617.07661434,0,2013-10-27T00:00:00,0-2
PEC Zwolle,1479.37047742,142.841406887,PSV Eindhoven,1454.13693109,0.5,2013-11-02T00:00:00,1-1
PEC Zwolle,1489.61517299,139.310079965,Twente Enschede,1547.08047347,0.5,2013-11-10T00:00:00,1-1
PEC Zwolle,1505.6139606,136.943650196,FC Groningen,1601.10828136,0.5,2013-11-24T00:00:00,0-0
