fullname,mu,sigma,opp,opp_rating,result,date,score
Rayo Vallecano,1663.9182108,291.752894037,Elche,1336.0817892,1,2013-08-19T00:00:00,3-0
Rayo Vallecano,1531.54446425,250.35836702,Atletico Madrid,1796.29195735,0,2013-08-25T00:00:00,5-0
Rayo Vallecano,1369.75414509,225.328931079,Levante,1497.85884656,0,2013-08-30T00:00:00,1-2
Rayo Vallecano,1256.75920774,203.152623816,Malaga,1409.60694959,0,2013-09-15T00:00:00,5-0
Rayo Vallecano,1243.48093299,201.675967333,Barcelona,1826.99958317,0,2013-09-21T00:00:00,0-4
Rayo Vallecano,1150.91211714,184.322862054,Sevilla FC,1284.20494948,0,2013-09-25T00:00:00,4-1
Rayo Vallecano,1120.25306927,177.079615239,Valencia,1460.02696389,0,2013-09-28T00:00:00,1-0
Rayo Vallecano,1257.38218152,174.42268183,Real Sociedad,1393.57262689,1,2013-10-05T00:00:00,1-0
Rayo Vallecano,1324.7700105,163.699077897,Almeria,1189.88878561,1,2013-10-20T00:00:00,0-1
Rayo Vallecano,1278.9120718,156.305273733,Real Valladolid,1476.51955518,0,2013-10-25T00:00:00,0-3
Rayo Vallecano,1233.81835187,150.552269883,Osasuna,1416.64893364,0,2013-10-30T00:00:00,3-1
Rayo Vallecano,1228.8694477,154.793861741,Real Madrid,1855.85315584,0,2013-11-02T00:00:00,2-3
Rayo Vallecano,1316.54420347,151.167351394,Celta Vigo,1346.2682959,1,2013-11-09T00:00:00,0-2
