fullname,mu,sigma,opp,opp_rating,result,date
Real Madrid,1663.9182108,291.752894037,Real Betis,1500,1,2013-08-18T00:00:00
Real Madrid,1796.29195735,250.35836702,Granada,1663.9182108,1,2013-08-26T00:00:00
Real Madrid,1887.82685719,222.321403304,Athletic Bilbao,1722.85508374,1,2013-09-01T00:00:00
Real Madrid,1860.94272425,203.432266822,Villarreal,1756.55494417,0.5,2013-09-14T00:00:00
Real Madrid,1873.78763187,201.835434337,Getafe,1311.18056058,1,2013-09-22T00:00:00
Real Madrid,1884.02043286,201.491408009,Elche,1275.80492998,1,2013-09-25T00:00:00
Real Madrid,1814.65020844,185.234326567,Atletico Madrid,1949.59851585,0,2013-09-28T00:00:00
Real Madrid,1844.94744586,177.983267362,Levante,1526.8043322,1,2013-10-05T00:00:00
Real Madrid,1860.07481503,176.617501956,Malaga,1403.32434954,1,2013-10-19T00:00:00
Real Madrid,1914.85026211,166.080875958,Juventus,1776.36740233,1,2013-10-23T00:00:00
Real Madrid,1831.12591577,159.278901313,Barcelona,1775.19639154,0,2013-10-26T00:00:00
Real Madrid,1850.57684596,157.710617461,Sevilla FC,1498.66173556,1,2013-10-30T00:00:00
Real Madrid,1855.85315584,161.317339333,Rayo Vallecano,1233.81835187,1,2013-11-02T00:00:00
Real Madrid,1843.73099991,154.003641165,Juventus,1776.6659352,0.5,2013-11-05T00:00:00
Real Madrid,1862.38982092,153.039691269,Real Sociedad,1516.47374455,1,2013-11-09T00:00:00
