mu,sigma,opp,opp_rating,result,date
1336.0817892,291.752894037,Athletic Bilbao,1500,0,2013-08-17T00:00:00
1277.14491626,263.968963767,Villarreal,1663.9182108,0,2013-08-24T00:00:00
1411.66545523,229.633319571,Getafe,1336.0817892,1,2013-08-31T00:00:00
1416.85661183,205.996201031,Elche,1434.91218977,0.5,2013-09-16T00:00:00
1400.75698826,202.948767546,Atletico Madrid,1923.8939581,0,2013-09-21T00:00:00
1422.90664243,186.137288064,Levante,1509.02744633,0.5,2013-09-24T00:00:00
1442.12307431,173.421856913,Malaga,1527.22833984,0.5,2013-09-27T00:00:00
1427.57787207,172.927233801,Barcelona,1894.70802624,0,2013-10-05T00:00:00
1431.55825589,161.960600886,Sevilla FC,1450.43331851,0.5,2013-10-20T00:00:00
1476.51955518,154.88360791,Rayo Vallecano,1324.7700105,1,2013-10-25T00:00:00
1472.38636984,148.229308179,Real Sociedad,1448.8734089,0.5,2013-10-30T00:00:00
1388.77544344,145.997519148,Almeria,1252.35268181,0,2013-11-02T00:00:00
1389.02841913,141.425159975,Valencia,1390.63605878,0.5,2013-11-10T00:00:00
