fullname,mu,sigma,opp,opp_rating,result,date,score
Roda JC Kerkrade,1336.0817892,291.752894037,Ajax Amsterdam,1663.9182108,0,2013-08-02T00:00:00,3-0
Roda JC Kerkrade,1518.1858456,254.33564939,Cambuur Leeuwarden,1317.90354253,1,2013-08-09T00:00:00,2-0
Roda JC Kerkrade,1509.08637813,223.576372879,Vitesse Arnhem,1490.91362187,0.5,2013-08-17T00:00:00,1-1
Roda JC Kerkrade,1581.10261841,202.435294053,ADO Den Haag,1327.06635658,1,2013-08-24T00:00:00,0-4
Roda JC Kerkrade,1437.72520709,192.407628815,Feyenoord Rotterdam,1437.30617461,0,2013-09-01T00:00:00,4-0
Roda JC Kerkrade,1307.31089609,183.346526364,NAC Breda,1299.59237643,0,2013-09-15T00:00:00,1-5
Roda JC Kerkrade,1355.85932951,176.745720852,Heerenveen,1551.26588652,0.5,2013-09-21T00:00:00,3-3
Roda JC Kerkrade,1382.14719467,167.686195026,FC Utrecht,1485.81631224,0.5,2013-09-28T00:00:00,3-3
Roda JC Kerkrade,1402.90744009,159.911380987,PEC Zwolle,1491.83486825,0.5,2013-10-05T00:00:00,0-0
Roda JC Kerkrade,1438.99928919,154.460303095,RKC Waalwijk,1197.14199782,1,2013-10-19T00:00:00,1-2
Roda JC Kerkrade,1507.26620751,148.396979653,PSV Eindhoven,1449.6062709,1,2013-10-27T00:00:00,2-1
Roda JC Kerkrade,1518.96156073,143.741546887,FC Groningen,1580.08118123,0.5,2013-11-03T00:00:00,3-3
Roda JC Kerkrade,1458.65780739,139.97997244,Go Ahead Eagles,1511.45809554,0,2013-11-09T00:00:00,1-4
Roda JC Kerkrade,1480.80959012,138.456687399,AZ Alkmaar,1615.74355952,0.5,2013-11-23T00:00:00,2-2
