fullname,mu,sigma,opp,opp_rating,result,date,score
Sampdoria,1336.0817892,291.752894037,Juventus,1663.9182108,0,2013-08-24T00:00:00,0-1
Sampdoria,1336.0817892,250.354123746,Bologna,1336.0817892,0.5,2013-09-01T00:00:00,2-2
Sampdoria,1213.20352423,222.074559446,Genoa,1411.66545523,0,2013-09-15T00:00:00,0-3
Sampdoria,1285.24958369,211.00744316,Cagliari,1499.41195346,0.5,2013-09-21T00:00:00,2-2
Sampdoria,1274.23407493,210.023159291,AS Roma,1907.03463512,0,2013-09-25T00:00:00,0-2
Sampdoria,1253.60627015,204.173278443,AC Milan,1730.83978736,0,2013-09-28T00:00:00,1-0
Sampdoria,1311.72453739,193.529261465,Torino,1502.15864325,0.5,2013-10-06T00:00:00,2-2
Sampdoria,1414.73430268,178.69205473,Livorno,1341.00720976,1,2013-10-20T00:00:00,1-2
Sampdoria,1510.71658734,167.998270529,Atalanta,1467.62613627,1,2013-10-26T00:00:00,1-0
Sampdoria,1465.73869156,159.662800137,Hellas Verona,1677.0207731,0,2013-10-30T00:00:00,2-0
Sampdoria,1379.91162913,154.200319657,Sassuolo,1383.86034643,0,2013-11-03T00:00:00,3-4
Sampdoria,1362.96453252,154.005182676,Fiorentina,1750.63894476,0,2013-11-10T00:00:00,2-1
Sampdoria,1380.09707795,148.460200189,Lazio,1464.64413017,0.5,2013-11-24T00:00:00,1-1
