fullname,mu,sigma,opp,opp_rating,result,date,score
Schalke 04,1500.0,291.750423517,Hamburg SV,1500.0,0.5,2013-08-11T00:00:00,3-3
Schalke 04,1317.90354253,254.330954643,VfL Wolfsburg,1518.1858456,0,2013-08-17T00:00:00,4-0
Schalke 04,1317.90354253,254.330954643,PAOK Salonika,-1,0.5,2013-08-21T00:00:00,1-1
Schalke 04,1232.32792096,225.808656707,Hannover 96,1519.2452311,0,2013-08-24T00:00:00,2-1
Schalke 04,1232.32792096,225.808656707,PAOK Salonika,-1,1,2013-08-27T00:00:00,2-3
Schalke 04,1445.81840848,222.345334592,Bayer Leverkusen,1574.4494606,1,2013-08-31T00:00:00,2-0
Schalke 04,1582.34393226,203.240496963,Mainz,1491.32930179,1,2013-09-14T00:00:00,0-1
Schalke 04,1582.34393226,203.240496963,Steaua Bucuresti,-1,1,2013-09-18T00:00:00,3-0
Schalke 04,1537.38642538,190.253722407,Bayern Munich,1846.32451399,0,2013-09-21T00:00:00,0-4
Schalke 04,1516.92032687,176.942491624,TSG Hoffenheim,1447.82349981,0.5,2013-09-28T00:00:00,3-3
Schalke 04,1516.92032687,176.942491624,FC Basel,-1,1,2013-10-01T00:00:00,0-1
Schalke 04,1585.61929137,165.275285713,FC Augsburg,1450.64471851,1,2013-10-05T00:00:00,4-1
Schalke 04,1606.45729303,163.262650009,TSV Eintracht Braunschweig,1223.73517936,1,2013-10-19T00:00:00,2-3
Schalke 04,1561.81115848,156.228422006,Chelsea,1766.54579201,0,2013-10-22T00:00:00,0-3
Schalke 04,1535.79227538,153.3440074,Borussia Dortmund,1839.05651946,0,2013-10-26T00:00:00,1-3
Schalke 04,1594.24197295,147.353949539,Hertha Berlin,1492.83982247,1,2013-11-02T00:00:00,0-2
Schalke 04,1556.22646733,143.550632005,Chelsea,1749.13965791,0,2013-11-06T00:00:00,3-0
Schalke 04,1593.27159959,140.29607593,Werder Bremen,1408.88707452,1,2013-11-09T00:00:00,3-1
Schalke 04,1560.24055666,140.710571218,Eintracht Frankfurt,1341.05027855,0.5,2013-11-23T00:00:00,3-3
