fullname,mu,sigma,opp,opp_rating,result,date,score
Sevilla FC,1500,350,Mladost Pogorica,-1,1,2013-08-01T00:00:00,3-0
Sevilla FC,1500,350,Mladost Pogorica,-1,1,2013-08-08T00:00:00,1-6
Sevilla FC,1336.0817892,291.752894037,Atletico Madrid,1663.9182108,0,2013-08-18T00:00:00,1-3
Sevilla FC,1336.0817892,291.752894037,Slask Wroclaw,-1,1,2013-08-22T00:00:00,4-1
Sevilla FC,1336.0817892,250.354123746,Levante,1336.0817892,0.5,2013-08-25T00:00:00,0-0
Sevilla FC,1336.0817892,250.354123746,Slask Wroclaw,-1,1,2013-08-29T00:00:00,0-5
Sevilla FC,1322.01333526,222.066219262,Malaga,1292.83413305,0.5,2013-09-01T00:00:00,2-2
Sevilla FC,1299.47794409,215.495375143,Barcelona,1811.48898755,0,2013-09-14T00:00:00,3-2
Sevilla FC,1299.47794409,215.495375143,Estoril,-1,1,2013-09-19T00:00:00,1-2
Sevilla FC,1197.91921588,193.731888854,Valencia,1341.52728595,0,2013-09-22T00:00:00,3-1
Sevilla FC,1284.7712936,179.169623901,Rayo Vallecano,1152.73655791,1,2013-09-25T00:00:00,4-1
Sevilla FC,1334.78430127,173.863377583,Real Sociedad,1549.11214294,0.5,2013-09-28T00:00:00,1-1
Sevilla FC,1404.14417833,163.57635594,SC Freiburg,1275.90298986,1,2013-10-03T00:00:00,2-0
Sevilla FC,1451.82639212,156.55328151,Almeria,1256.89936775,1,2013-10-06T00:00:00,2-1
Sevilla FC,1449.11222729,150.322936788,Real Valladolid,1436.21146328,0.5,2013-10-20T00:00:00,2-2
Sevilla FC,1449.11222729,150.322936788,Liberec,-1,0.5,2013-10-24T00:00:00,1-1
Sevilla FC,1501.32000035,145.746309146,Osasuna,1370.64315591,1,2013-10-27T00:00:00,2-1
Sevilla FC,1485.76433181,146.626771485,Real Madrid,1870.49485582,0,2013-10-30T00:00:00,7-3
Sevilla FC,1416.09789889,143.344938971,Celta Vigo,1437.68389691,0,2013-11-02T00:00:00,0-1
Sevilla FC,1416.09789889,143.344938971,Liberec,-1,0.5,2013-11-07T00:00:00,1-1
Sevilla FC,1475.96147832,139.966543343,Espanyol,1418.80957662,1,2013-11-10T00:00:00,1-3
Sevilla FC,1511.02931752,137.581439279,Real Betis,1322.83723682,1,2013-11-24T00:00:00,4-0
