mu,sigma,opp,result,date
1337.69078745,290.31746003,Stade Rennes,0,2013-08-10T00:00:00
1566.93775148,260.486583291,Lille,1,2013-08-17T00:00:00
1700.04760173,222.895098806,Lyon,1,2013-08-24T00:00:00
1627.66794241,209.247743472,Nantes,0.5,2013-08-31T00:00:00
1605.20641909,187.767732034,Montpellier,0.5,2013-09-14T00:00:00
1571.83479846,173.582179364,Guingamp,0.5,2013-09-21T00:00:00
1535.17999136,162.662428705,Bordeaux,0.5,2013-09-25T00:00:00
1573.05141095,155.041040393,AS Monaco,0.5,2013-09-29T00:00:00
1526.36039337,151.147879411,Valenciennes,0.5,2013-10-05T00:00:00
1482.01210941,141.030430661,Toulouse,0,2013-10-18T00:00:00
1531.72793696,132.204812833,Marseille,1,2013-10-26T00:00:00
1573.80939304,125.025377055,Bastia,1,2013-11-02T00:00:00
1549.78995087,121.261205145,Lorient,0.5,2013-11-09T00:00:00
