fullname,mu,sigma,opp,opp_rating,result,date
St Etienne,1663.9182108,291.752894037,AC Ajaccio,1500,1,2013-08-11T00:00:00
St Etienne,1722.85508374,263.968963767,Guingamp,1336.0817892,1,2013-08-17T00:00:00
St Etienne,1521.90913295,240.761604408,Lille,1428.5128981,0,2013-08-25T00:00:00
St Etienne,1623.1988391,212.537165448,Bordeaux,1505.4040034,1,2013-09-01T00:00:00
St Etienne,1654.20663875,203.005569089,Valenciennes,1271.76509408,1,2013-09-14T00:00:00
St Etienne,1513.05810831,192.065946097,Toulouse,1381.95886363,0,2013-09-20T00:00:00
St Etienne,1438.31944646,176.513634164,Marseille,1531.45341436,0,2013-09-24T00:00:00
St Etienne,1442.48367828,165.294465926,Bastia,1462.31356964,0.5,2013-09-28T00:00:00
St Etienne,1421.88165938,163.227821737,AS Monaco,1781.60028135,0,2013-10-05T00:00:00
St Etienne,1463.16305906,156.394863023,Lorient,1282.75619013,1,2013-10-20T00:00:00
St Etienne,1509.13206312,156.132324516,Paris Saint-Germain,1827.50128025,0.5,2013-10-27T00:00:00
St Etienne,1468.34209947,154.47999389,Sochaux,1204.50153044,0.5,2013-11-02T00:00:00
St Etienne,1407.75153438,147.885795258,Lyon,1447.28461374,0,2013-11-10T00:00:00
