fullname,mu,sigma,opp,opp_rating,result,date,score
St Johnstone,1500,350,Rosenborg,-1,1,2013-07-18T00:00:00,0-1
St Johnstone,1500,350,Rosenborg,-1,0.5,2013-07-25T00:00:00,1-1
St Johnstone,1500,350,Minsk,-1,1,2013-08-01T00:00:00,0-1
St Johnstone,1663.9182108,291.752894037,Heart of Midlothian,1336.0817892,1,2013-08-04T00:00:00,1-0
St Johnstone,1663.9182108,291.752894037,Minsk,-1,0,2013-08-08T00:00:00,0-1
St Johnstone,1575.69643507,263.970188296,Kilmarnock,1424.30356493,0.5,2013-08-11T00:00:00,0-0
St Johnstone,1624.48965564,242.518664453,Ross County,1198.74656267,1,2013-08-17T00:00:00,4-0
St Johnstone,1445.94571315,222.22014077,Dundee United,1516.82636018,0,2013-08-24T00:00:00,4-0
St Johnstone,1463.8951798,199.526023523,Aberdeen,1509.10652819,0.5,2013-08-31T00:00:00,0-0
St Johnstone,1362.92246543,183.182512644,Hibernian,1465.32685754,0,2013-09-14T00:00:00,1-2
St Johnstone,1345.58166274,180.84359132,Celtic,1807.66049307,0,2013-09-21T00:00:00,2-1
St Johnstone,1352.54120153,168.317225278,Partick Thistle,1377.78964652,0.5,2013-09-28T00:00:00,1-1
St Johnstone,1478.93767365,167.860806132,Inverness Caledonian Thistle,1636.13276195,1,2013-10-05T00:00:00,4-0
St Johnstone,1391.2403806,160.85885485,St Mirren,1429.44036904,0,2013-10-19T00:00:00,4-3
St Johnstone,1490.09913492,157.037463125,Motherwell,1540.53808241,1,2013-10-27T00:00:00,2-0
St Johnstone,1519.49611529,153.293181789,Heart of Midlothian,1241.49477282,1,2013-11-02T00:00:00,0-2
St Johnstone,1554.43048351,149.053203663,Kilmarnock,1324.07946591,1,2013-11-09T00:00:00,3-1
St Johnstone,1507.60770051,144.296279675,Inverness Caledonian Thistle,1654.63173353,0,2013-11-23T00:00:00,1-0
