fullname,mu,sigma,opp,opp_rating,result,date,score
St Mirren,1336.0817892,291.752894037,Inverness Caledonian Thistle,1663.9182108,0,2013-08-03T00:00:00,3-0
St Mirren,1362.28923244,248.586395118,Kilmarnock,1403.02817938,0.5,2013-08-17T00:00:00,1-1
St Mirren,1208.08336168,221.797457069,Ross County,1338.53460394,0,2013-08-24T00:00:00,3-0
St Mirren,1159.01337106,204.651595504,Partick Thistle,1486.58624592,0,2013-08-31T00:00:00,1-2
St Mirren,1140.35190668,200.351480256,Motherwell,1636.99737092,0,2013-09-14T00:00:00,0-1
St Mirren,1110.23330946,191.539086417,Hibernian,1489.79786004,0,2013-09-21T00:00:00,2-0
St Mirren,1194.43861425,192.013583444,Aberdeen,1630.77340324,0.5,2013-09-30T00:00:00,1-1
St Mirren,1327.64462875,182.136818745,Heart of Midlothian,1351.77289242,1,2013-10-05T00:00:00,0-2
St Mirren,1429.44036904,171.249717576,St Johnstone,1391.2403806,1,2013-10-19T00:00:00,4-3
St Mirren,1373.57690021,161.098727463,Dundee United,1541.46874989,0,2013-10-26T00:00:00,4-0
St Mirren,1436.27178998,153.106542713,Partick Thistle,1329.42633944,1,2013-11-09T00:00:00,0-3
St Mirren,1481.42744482,147.662564225,Ross County,1312.0815221,1,2013-11-17T00:00:00,2-1
St Mirren,1471.9578368,142.99264361,Hibernian,1422.27177298,0.5,2013-11-23T00:00:00,0-0
