fullname,mu,sigma,opp,opp_rating,result,date
Sunderland,1336.0817892,291.752894037,Fulham,1500,0,2013-08-17T00:00:00
Sunderland,1424.30356493,263.970188296,Southampton,1663.9182108,0.5,2013-08-24T00:00:00
Sunderland,1241.30794981,235.852429458,Crystal Palace,1203.70804265,0,2013-08-31T00:00:00
Sunderland,1218.62128631,228.137850697,Arsenal,1730.59811112,0,2013-09-14T00:00:00
Sunderland,1128.80251732,202.696394574,West Bromwich Albion,1258.51575271,0,2013-09-21T00:00:00
Sunderland,1111.38791984,199.198778256,Liverpool,1605.63363726,0,2013-09-29T00:00:00
Sunderland,1090.27425984,193.942389197,Manchester United,1522.87961294,0,2013-10-05T00:00:00
Sunderland,1070.45327087,189.617251822,Swansea City,1505.44869991,0,2013-10-19T00:00:00
Sunderland,1236.56081946,187.788811765,Newcastle United,1545.80699167,1,2013-10-27T00:00:00
Sunderland,1201.6161832,178.489478765,Hull City,1490.30341534,0,2013-11-02T00:00:00
Sunderland,1352.0282611,177.776300817,Manchester City,1664.82495441,1,2013-11-10T00:00:00
