fullname,mu,sigma,opp,opp_rating,result,date,score
Swansea City,1500,350,Malmo FF,-1,1,2013-08-01T00:00:00,4-0
Swansea City,1500,350,Malmo FF,-1,0.5,2013-08-08T00:00:00,0-0
Swansea City,1336.0817892,291.752894037,Manchester United,1663.9182108,0,2013-08-17T00:00:00,1-4
Swansea City,1336.0817892,291.752894037,Petrolul Ploiesti,-1,1,2013-08-22T00:00:00,5-1
Swansea City,1277.14491626,263.968963767,Tottenham Hotspur,1722.85508374,0,2013-08-25T00:00:00,1-0
Swansea City,1277.14491626,263.968963767,Petrolul Ploiesti,-1,0,2013-08-29T00:00:00,2-1
Swansea City,1424.22474827,231.091313372,West Bromwich Albion,1243.80981431,1,2013-09-01T00:00:00,0-2
Swansea City,1513.7096033,221.705733106,Liverpool,1777.77284754,0.5,2013-09-16T00:00:00,2-2
Swansea City,1567.18415742,203.567811661,Valencia,1256.91518527,1,2013-09-19T00:00:00,0-3
Swansea City,1608.26745531,191.760930348,Crystal Palace,1275.71845643,1,2013-09-22T00:00:00,0-2
Swansea City,1571.92229838,182.382857093,Arsenal,1899.20500615,0,2013-09-28T00:00:00,1-2
Swansea City,1571.92229838,182.382857093,St Gallen,-1,1,2013-10-03T00:00:00,1-0
Swansea City,1505.44869991,170.336662916,Southampton,1672.26645955,0,2013-10-06T00:00:00,2-0
Swansea City,1521.7065997,169.416083636,Sunderland,1070.45327087,1,2013-10-19T00:00:00,4-0
Swansea City,1521.7065997,169.416083636,Kuban Krasnodar,-1,0.5,2013-10-24T00:00:00,1-1
Swansea City,1505.34564246,160.623163543,West Ham United,1437.30901684,0.5,2013-10-27T00:00:00,0-0
Swansea City,1426.16240754,153.904343551,Cardiff City,1462.19350543,0,2013-11-03T00:00:00,1-0
Swansea City,1426.16240754,153.904343551,Kuban Krasnodar,-1,0.5,2013-11-07T00:00:00,1-1
Swansea City,1418.6479334,148.026131246,Stoke City,1381.90673506,0.5,2013-11-10T00:00:00,3-3
Swansea City,1456.89264963,144.038345715,Fulham,1263.04058546,1,2013-11-23T00:00:00,1-2
