fullname,mu,sigma,opp,opp_rating,result,date,score
Torino,1663.9182108,291.752894037,Sassuolo,1336.0817892,1,2013-08-25T00:00:00,2-0
Torino,1428.5128981,263.983836944,Atalanta,1571.4871019,0,2013-09-01T00:00:00,2-0
Torino,1520.0257471,241.164130776,AC Milan,1703.27296195,0.5,2013-09-14T00:00:00,2-2
Torino,1594.14006025,215.218492925,Bologna,1313.5562531,1,2013-09-22T00:00:00,1-2
Torino,1583.8418385,194.596247608,Hellas Verona,1556.31985385,0.5,2013-09-25T00:00:00,2-2
Torino,1549.77261557,185.662245707,Juventus,1899.35272268,0,2013-09-29T00:00:00,0-1
Torino,1502.15864325,179.172064455,Sampdoria,1311.72453739,0.5,2013-10-06T00:00:00,2-2
Torino,1540.17816094,171.51665971,Internazionale,1693.13902036,0.5,2013-10-20T00:00:00,3-3
Torino,1514.65734862,167.113763565,Napoli,1861.83249063,0,2013-10-27T00:00:00,2-0
Torino,1476.43583301,162.005239268,Livorno,1299.96503269,0.5,2013-10-30T00:00:00,3-3
Torino,1536.43432882,164.750062311,AS Roma,1971.67663555,0.5,2013-11-03T00:00:00,1-1
Torino,1439.70630596,158.771874406,Cagliari,1418.18785328,0,2013-11-10T00:00:00,2-1
Torino,1487.64324558,151.936461016,Catania,1316.52587169,1,2013-11-24T00:00:00,4-1
