fullname,mu,sigma,opp,opp_rating,result,date
Tottenham Hotspur,1663.9182108,291.752894037,Crystal Palace,1500,1,2013-08-18T00:00:00
Tottenham Hotspur,1722.85508374,263.968963767,Swansea City,1336.0817892,1,2013-08-25T00:00:00
Tottenham Hotspur,1563.78113697,233.530702072,Arsenal,1571.4871019,0,2013-09-01T00:00:00
Tottenham Hotspur,1649.31211122,208.630746169,Norwich City,1497.5465154,1,2013-09-14T00:00:00
Tottenham Hotspur,1708.22238015,191.971682589,Cardiff City,1504.78489193,1,2013-09-22T00:00:00
Tottenham Hotspur,1695.26014674,177.973601298,Chelsea,1638.35118823,0.5,2013-09-28T00:00:00
Tottenham Hotspur,1563.40886368,174.842378153,West Ham United,1324.17438413,0,2013-10-06T00:00:00
Tottenham Hotspur,1635.84385359,163.81696699,Aston Villa,1587.12867605,1,2013-10-20T00:00:00
Tottenham Hotspur,1682.59156888,156.182781797,Hull City,1534.64857281,1,2013-10-27T00:00:00
Tottenham Hotspur,1689.30355721,149.714457403,Everton,1727.91643195,0.5,2013-11-03T00:00:00
Tottenham Hotspur,1615.7047545,146.0164406,Newcastle United,1546.79576338,0,2013-11-10T00:00:00
