fullname,mu,sigma,opp,opp_rating,result,date,score
TSG Hoffenheim,1500.0,291.750423517,Nurnberg,1500.0,0.5,2013-08-10T00:00:00,2-2
TSG Hoffenheim,1632.36902608,250.353413782,Hamburg SV,1367.63097392,1,2013-08-17T00:00:00,1-5
TSG Hoffenheim,1553.293703,233.947403405,SC Freiburg,1366.19268493,0.5,2013-08-24T00:00:00,3-3
TSG Hoffenheim,1355.48120448,222.295645835,VfB Stuttgart,1351.5742649,0,2013-09-01T00:00:00,6-2
TSG Hoffenheim,1514.88968973,206.58070034,Borussia Monchengladbach,1476.73923257,1,2013-09-15T00:00:00,2-1
TSG Hoffenheim,1427.95809351,187.440415881,VfL Wolfsburg,1588.92378115,0,2013-09-21T00:00:00,2-1
TSG Hoffenheim,1447.82349981,174.99794181,Schalke 04,1516.92032687,0.5,2013-09-28T00:00:00,3-3
TSG Hoffenheim,1430.95274375,164.90383,Mainz,1364.99336456,0.5,2013-10-05T00:00:00,2-2
TSG Hoffenheim,1411.51186672,162.985467967,Bayer Leverkusen,1796.59645555,0,2013-10-18T00:00:00,1-2
TSG Hoffenheim,1493.8548927,155.799493895,Hannover 96,1461.90513468,1,2013-10-26T00:00:00,1-4
TSG Hoffenheim,1480.72877865,156.809752174,Bayern Munich,1928.43747824,0,2013-11-02T00:00:00,1-2
TSG Hoffenheim,1424.08168037,149.805253581,Hertha Berlin,1543.87654447,0,2013-11-09T00:00:00,2-3
TSG Hoffenheim,1370.05826819,144.530510253,FC Augsburg,1479.95758753,0,2013-11-23T00:00:00,2-0
