fullname,mu,sigma,opp,opp_rating,result,date
TSV Eintracht Braunschweig,1336.0817892,291.752894037,Werder Bremen,1500,0,2013-08-10T00:00:00
TSV Eintracht Braunschweig,1277.14491626,263.968963767,Borussia Dortmund,1663.9182108,0,2013-08-18T00:00:00
TSV Eintracht Braunschweig,1160.05186458,230.373463947,Eintracht Frankfurt,1277.14491626,0,2013-08-25T00:00:00
TSV Eintracht Braunschweig,1092.88478717,208.436861448,Hamburg SV,1310.40411255,0,2013-08-31T00:00:00
TSV Eintracht Braunschweig,1145.18561585,195.997910334,Nurnberg,1357.90924262,0.5,2013-09-15T00:00:00
TSV Eintracht Braunschweig,1116.45476081,188.605923243,Borussia Monchengladbach,1476.73923257,0,2013-09-20T00:00:00
TSV Eintracht Braunschweig,1094.51095476,184.06903439,VfB Stuttgart,1498.23228355,0,2013-09-29T00:00:00
TSV Eintracht Braunschweig,1248.1159507,182.56158456,VfL Wolfsburg,1556.98848768,1,2013-10-05T00:00:00
TSV Eintracht Braunschweig,1223.73517936,177.496586493,Schalke 04,1585.61929137,0,2013-10-19T00:00:00
TSV Eintracht Braunschweig,1175.57716509,167.177383299,Mainz,1355.87652976,0,2013-10-26T00:00:00
TSV Eintracht Braunschweig,1320.42637789,170.472122268,Bayer Leverkusen,1809.39479843,1,2013-11-02T00:00:00
TSV Eintracht Braunschweig,1333.70349816,160.394813957,Hannover 96,1396.72203644,0.5,2013-11-08T00:00:00
