fullname,mu,sigma,opp,opp_rating,result,date
Udinese,1336.0817892,291.752894037,Lazio,1500,0,2013-08-25T00:00:00
Udinese,1518.1858456,254.33564939,Parma,1500.0,1,2013-09-01T00:00:00
Udinese,1472.867458,227.432250066,Bologna,1336.0817892,0.5,2013-09-15T00:00:00
Udinese,1340.29825278,206.140760389,Chievo Verona,1325.47734903,0,2013-09-21T00:00:00
Udinese,1446.45329044,188.98921379,Genoa,1440.05037503,1,2013-09-24T00:00:00
Udinese,1344.28659273,177.013599318,Atalanta,1305.21871522,0,2013-09-29T00:00:00
Udinese,1442.14334739,168.714307957,Cagliari,1517.9374234,1,2013-10-06T00:00:00
Udinese,1385.36682599,160.080344419,AC Milan,1485.52733439,0,2013-10-19T00:00:00
Udinese,1380.08859384,163.78435086,AS Roma,2024.59076939,0,2013-10-27T00:00:00
Udinese,1435.44551414,155.749005775,Sassuolo,1339.4490932,1,2013-10-30T00:00:00
Udinese,1411.04075069,153.409221937,Internazionale,1703.07854464,0,2013-11-03T00:00:00
Udinese,1333.85623555,149.010239023,Catania,1264.76667017,0,2013-11-09T00:00:00
