mu,sigma,opp,opp_rating,result,date
1663.9182108,291.752894037,Malaga,1500,1,2013-08-17T00:00:00
1481.8141544,254.33564939,Espanyol,1500.0,0,2013-08-24T00:00:00
1421.37766564,231.024434662,Barcelona,1722.85508374,0,2013-09-01T00:00:00
1305.17762649,207.803201545,Real Betis,1342.98188265,0,2013-09-15T00:00:00
1256.91518527,193.942331796,Swansea City,1513.7096033,0,2013-09-19T00:00:00
1341.52728595,179.87330222,Sevilla FC,1299.47794409,1,2013-09-22T00:00:00
1433.27537317,169.297672295,Granada,1459.99636652,1,2013-09-25T00:00:00
1460.02696389,165.174012048,Rayo Vallecano,1150.91211714,1,2013-09-28T00:00:00
1473.46364397,157.322368614,Athletic Bilbao,1546.24364178,0.5,2013-10-06T00:00:00
1403.15649869,150.968409981,Real Sociedad,1393.57262689,0,2013-10-19T00:00:00
1374.46113187,148.247678979,Villarreal,1612.28533304,0,2013-10-27T00:00:00
1291.97606347,146.051535963,Almeria,1160.48206736,0,2013-10-30T00:00:00
1390.63605878,147.335937579,Getafe,1659.78104234,1,2013-11-03T00:00:00
1390.3780538,142.592130291,Real Valladolid,1388.77544344,0.5,2013-11-10T00:00:00
