fullname,mu,sigma,opp,opp_rating,result,date
VfB Stuttgart,1336.0817892,291.752894037,Mainz,1500,0,2013-08-11T00:00:00
VfB Stuttgart,1277.14491626,263.968963767,Bayer Leverkusen,1663.9182108,0,2013-08-17T00:00:00
VfB Stuttgart,1160.05186458,230.373463947,FC Augsburg,1277.14491626,0,2013-08-25T00:00:00
VfB Stuttgart,1351.5742649,219.476662476,TSG Hoffenheim,1553.293703,1,2013-09-01T00:00:00
VfB Stuttgart,1485.00622434,200.708981985,Hertha Berlin,1522.31841471,1,2013-09-13T00:00:00
VfB Stuttgart,1498.23228355,183.419858524,Eintracht Frankfurt,1549.26453456,0.5,2013-09-22T00:00:00
VfB Stuttgart,1519.2675694,179.800276221,TSV Eintracht Braunschweig,1116.45476081,1,2013-09-29T00:00:00
VfB Stuttgart,1504.0246058,168.043380635,Werder Bremen,1434.58745144,0.5,2013-10-05T00:00:00
VfB Stuttgart,1487.91392869,159.532581919,Hamburg SV,1404.29468927,0.5,2013-10-20T00:00:00
VfB Stuttgart,1465.34972162,153.74209997,Nurnberg,1336.26770938,0.5,2013-10-25T00:00:00
VfB Stuttgart,1449.86825686,153.981152238,Borussia Dortmund,1839.05651946,0,2013-11-01T00:00:00
VfB Stuttgart,1492.78765066,148.229930149,SC Freiburg,1350.97103131,1,2013-11-10T00:00:00
