mu,sigma,opp,opp_rating,result,date
1336.0817892,291.752894037,Hannover 96,1500,0,2013-08-10T00:00:00
1518.1858456,254.33564939,Schalke 04,1500.0,1,2013-08-17T00:00:00
1451.26823801,229.307462869,Mainz,1722.85508374,0,2013-08-24T00:00:00
1604.08454056,210.808842305,Hertha Berlin,1677.03438367,1,2013-08-31T00:00:00
1511.85800165,192.536039022,Bayer Leverkusen,1574.4494606,0,2013-09-14T00:00:00
1588.92378115,178.283603185,TSG Hoffenheim,1514.88968973,1,2013-09-21T00:00:00
1556.98848768,171.814278568,Bayern Munich,1846.32451399,0,2013-09-28T00:00:00
1423.58992512,171.84980726,TSV Eintracht Braunschweig,1094.51095476,0,2013-10-05T00:00:00
1495.33316886,161.363427417,FC Augsburg,1450.64471851,1,2013-10-20T00:00:00
1545.92690385,153.783556553,Werder Bremen,1427.51636163,1,2013-10-26T00:00:00
1582.53296624,149.09562208,Eintracht Frankfurt,1398.03675522,1,2013-11-02T00:00:00
1667.56307502,146.770002601,Borussia Dortmund,1800.03273928,1,2013-11-09T00:00:00
