fullname,mu,sigma,opp,opp_rating,result,date,score
Vitesse Arnhem,1500,350,Petrolul Ploiesti,-1,0.5,2013-08-01T00:00:00,1-1
Vitesse Arnhem,1663.9182108,291.752894037,SC Heracles Almelo,1336.0817892,1,2013-08-04T00:00:00,3-1
Vitesse Arnhem,1663.9182108,291.752894037,Petrolul Ploiesti,-1,0,2013-08-08T00:00:00,1-2
Vitesse Arnhem,1481.8141544,254.33564939,RKC Waalwijk,1682.09645747,0,2013-08-11T00:00:00,4-2
Vitesse Arnhem,1490.91362187,223.576372879,Roda JC Kerkrade,1509.08637813,0.5,2013-08-17T00:00:00,1-1
Vitesse Arnhem,1625.39711017,204.398321035,Twente Enschede,1523.21002632,1,2013-08-25T00:00:00,1-0
Vitesse Arnhem,1606.39407978,188.332862203,AZ Alkmaar,1549.58602011,0.5,2013-09-01T00:00:00,1-1
Vitesse Arnhem,1681.841694,174.750076482,PEC Zwolle,1530.05271495,1,2013-09-22T00:00:00,3-0
Vitesse Arnhem,1701.33109199,172.201177715,NEC Nijmegen,1285.09831842,1,2013-09-29T00:00:00,2-3
Vitesse Arnhem,1566.179607,171.762977468,ADO Den Haag,1388.79180258,0,2013-10-02T00:00:00,2-1
Vitesse Arnhem,1497.74574833,161.586227292,Feyenoord Rotterdam,1619.35223405,0,2013-10-06T00:00:00,1-2
Vitesse Arnhem,1578.65821238,155.076177733,Heerenveen,1543.6440145,1,2013-10-19T00:00:00,2-3
Vitesse Arnhem,1580.79068397,148.52884321,FC Groningen,1590.95280517,0.5,2013-10-27T00:00:00,2-2
Vitesse Arnhem,1633.19049602,143.413699953,Ajax Amsterdam,1521.2163648,1,2013-11-02T00:00:00,0-1
Vitesse Arnhem,1667.09072949,140.612387437,FC Utrecht,1461.83015029,1,2013-11-09T00:00:00,3-1
Vitesse Arnhem,1698.02619182,138.588016974,Go Ahead Eagles,1481.12855255,1,2013-11-24T00:00:00,0-3
