fullname,mu,sigma,opp,opp_rating,result,date,score
Werder Bremen,1663.9182108,291.752894037,TSV Eintracht Braunschweig,1336.0817892,1,2013-08-10T00:00:00,0-1
Werder Bremen,1722.85508374,263.968963767,FC Augsburg,1277.14491626,1,2013-08-17T00:00:00,1-0
Werder Bremen,1605.76203206,230.373463947,Borussia Dortmund,1839.94813542,0,2013-08-23T00:00:00,1-0
Werder Bremen,1479.8935441,207.712943339,Borussia Monchengladbach,1618.91235623,0,2013-08-31T00:00:00,4-1
Werder Bremen,1371.93552192,191.090042714,Eintracht Frankfurt,1490.00144416,0,2013-09-14T00:00:00,0-3
Werder Bremen,1445.38178011,177.093039709,Hamburg SV,1277.2615671,1,2013-09-21T00:00:00,0-2
Werder Bremen,1434.58745144,166.684688623,Nurnberg,1393.23303718,0.5,2013-09-29T00:00:00,3-3
Werder Bremen,1447.72003593,158.700622912,VfB Stuttgart,1504.0246058,0.5,2013-10-05T00:00:00,1-1
Werder Bremen,1427.54695056,152.903733736,SC Freiburg,1331.586104,0.5,2013-10-19T00:00:00,0-0
Werder Bremen,1381.42840247,147.444885565,VfL Wolfsburg,1545.93151833,0,2013-10-26T00:00:00,3-0
Werder Bremen,1445.71035652,143.051398352,Hannover 96,1396.73276673,1,2013-11-03T00:00:00,3-2
Werder Bremen,1408.91930693,139.856306979,Schalke 04,1593.3586766,0,2013-11-09T00:00:00,3-1
Werder Bremen,1358.27342038,136.674413819,Mainz,1448.69453132,0,2013-11-24T00:00:00,2-3
