fullname,mu,sigma,opp,opp_rating,result,date,score
West Ham United,1663.9182108,291.752894037,Cardiff City,1336.0817892,1,2013-08-17T00:00:00,2-0
West Ham United,1575.69643507,263.970188296,Newcastle United,1424.30356493,0.5,2013-08-24T00:00:00,0-0
West Ham United,1427.14856373,230.838913239,Stoke City,1603.76100974,0,2013-08-31T00:00:00,0-1
West Ham United,1417.09743049,206.967759194,Southampton,1393.19734309,0.5,2013-09-15T00:00:00,0-0
West Ham United,1372.316508,193.69544731,Everton,1693.40432362,0,2013-09-21T00:00:00,2-3
West Ham United,1324.17438413,181.206732186,Hull City,1593.69749997,0,2013-09-28T00:00:00,1-0
West Ham United,1460.8794163,177.540619819,Tottenham Hotspur,1563.40886368,1,2013-10-06T00:00:00,0-3
West Ham United,1421.05362812,168.807708382,Manchester City,1687.68035284,0,2013-10-19T00:00:00,1-3
West Ham United,1437.30901684,160.230260603,Swansea City,1505.34564246,0.5,2013-10-27T00:00:00,0-0
West Ham United,1444.79865387,152.651688914,Aston Villa,1478.64385845,0.5,2013-11-02T00:00:00,0-0
West Ham United,1377.28369466,147.340186572,Norwich City,1434.206171,0,2013-11-09T00:00:00,3-1
